Name,Age_rating,Seller,Price,Category,point,length,embedding,2D
Google Meet,4+,Google LLC,Free,Social Networking,2,11465,"[ 5.18918224e-03 -5.75399138e-02 -6.64091809e-03 ... -9.18366131e-04
 -2.20800866e-05  5.64808957e-03]","[-4.544417858123779, -3.630052328109741]"
Peacock TV: Stream TV & Movies,12+,Peacock TV LLC,Free,Entertainment,21,43678,"[-0.02006475 -0.06584003 -0.03138924 ...  0.00549353  0.00661692
  0.00504911]","[4.6539201736450195, -0.36790308356285095]"
TurboTax: File Your Tax Return,4+,Intuit Inc.,Free,Finance,16,81604,"[-0.03435951 -0.05056315 -0.03091055 ...  0.00919182 -0.0002059
  0.00140623]","[5.399435997009277, 0.8518469929695129]"
Indeed Job Search,4+,Indeed Inc.,Free,Business,18,97195,"[-0.01799339 -0.03931768 -0.02687579 ...  0.0050535  -0.00732716
 -0.00931509]","[7.072314739227295, -3.0253024101257324]"
"PayPal - Send, Shop, Manage",4+,"PayPal, Inc.",Free,Finance,33,45879,"[-0.0456569  -0.03860822 -0.00745478 ...  0.02068194 -0.00084845
 -0.02130559]","[2.787508726119995, -3.040477752685547]"
Duolingo - Language Lessons,4+,Duolingo,Free,Education,29,27398,"[-0.04186137 -0.00560437 -0.01737891 ...  0.01611514  0.00175937
  0.00170155]","[-2.119929313659668, 5.2067461013793945]"
"ShutEye: Sleep Tracker, Sound",4+,Enerjoy Pte. Ltd.,Free,Health & Fitness,18,16654,"[-0.04831256 -0.02688262 -0.00871972 ...  0.00385724  0.00046478
  0.0087121 ]","[-7.782289981842041, 3.998528480529785]"
Microsoft Authenticator,4+,Microsoft Corporation,Free,Productivity,0,1999,"[-0.02646288 -0.03047743  0.00454629 ... -0.01161089 -0.02110401
 -0.00817182]","[6.300461292266846, -6.89260721206665]"
Zoom - One Platform to Connect,4+,"Zoom Video Communications, Inc.",Free,Business,30,58809,"[-0.0172633  -0.04370233 -0.02357161 ...  0.01708684  0.01194756
  0.00467609]","[6.430986404418945, -0.2530498504638672]"
The Roku App,12+,ROKU INC,Free,Entertainment,too long,124775,"[-0.00582447 -0.06113878 -0.02172724 ...  0.00939478 -0.00599535
 -0.00948931]","[4.056199550628662, -2.827413558959961]"
Shop: All your favorite brands,12+,Shopify Inc.,Free,Shopping,18,19438,"[-0.02625733 -0.02582433 -0.00985516 ...  0.00211414 -0.00124164
  0.00153391]","[-4.84017276763916, 1.5162686109542847]"
Microsoft Teams,4+,Microsoft Corporation,Free,Business,too long,299069,"[-0.01335085 -0.03729321 -0.02124452 ...  0.00757855  0.00999968
 -0.00918495]","[5.742208480834961, -5.912054538726807]"
Life360: Find Friends & Family,4+,Life360,Free,Social Networking,25,56533,"[-0.02498846 -0.06784306 -0.0151651  ...  0.00875954  0.0040063
  0.0066734 ]","[3.154849052429199, 1.0438168048858643]"
Domino's Pizza USA,4+,Domino's Pizza LLC,Free,Food & Drink,20,59190,"[-0.05763272 -0.04463774 -0.0226275  ...  0.00472692 -0.01033913
  0.00392489]","[2.0950987339019775, 1.211573839187622]"
X,17+,X Corp.,Free,News,23,29140,"[-0.00237645 -0.03182372 -0.01441366 ...  0.00039581 -0.00455486
  0.0204581 ]","[-4.111603260040283, 3.3720526695251465]"
Uber Eats: Food Delivery,12+,"Uber Technologies, Inc.",Free,Food & Drink,19,51670,"[-0.0204203  -0.02391682 -0.02220848 ...  0.0124294  -0.00118047
 -0.00374199]","[2.609346866607666, -8.345161437988281]"
Twitch: Live Game Streaming,12+,"Twitch Interactive, Inc.",Free,Photo & Video,18,27019,"[-0.00920461 -0.05702927 -0.01999792 ...  0.0082301   0.00560957
 -0.00720646]","[-0.8517324328422546, 2.575488805770874]"
ReelShort,12+,NewLeaf Publishing,Free,Entertainment,22,41833,"[-0.04336936 -0.0590761  -0.02339894 ...  0.01506206 -0.00705485
  0.0106885 ]","[5.4940080642700195, -0.32829585671424866]"
Venmo,4+,Venmo,Free,Finance,23,49491,"[-0.05023634 -0.04168361 -0.02075424 ...  0.00997575 -0.00227319
 -0.00411582]","[3.3830761909484863, -2.85878586769104]"
Google Drive,4+,Google LLC,Free,Productivity,27,37781,"[-0.01834009 -0.06230772 -0.02571864 ...  0.02086033 -0.00276506
  0.0120243 ]","[-1.3499172925949097, -2.5161752700805664]"
"Ticketmaster－Buy, Sell Tickets",4+,Ticketmaster,Free,Entertainment,21,29381,"[-0.01035247 -0.04102838 -0.00978022 ...  0.01848531  0.00699702
  0.01185245]","[-1.1970248222351074, 3.642935276031494]"
Airbnb,4+,"Airbnb, Inc.",Free,Travel,17,31010,"[-0.039638   -0.02709707 -0.01321544 ...  0.01683782 -0.00660356
  0.0192694 ]","[-2.0594561100006104, 3.164074420928955]"
Microsoft Outlook,4+,Microsoft Corporation,Free,Productivity,too long,299069,"[-0.01334564 -0.03734013 -0.02117477 ...  0.00754486  0.00995737
 -0.00928125]","[5.7424235343933105, -5.912737846374512]"
LinkedIn: Network & Job Finder,12+,LinkedIn Corporation,Free,Business,19,40332,"[-0.01501501 -0.03736315 -0.01308276 ...  0.00531133  0.0023564
 -0.0043405 ]","[-3.8636677265167236, 2.8159358501434326]"
Planet Fitness Workouts,4+,"Planet Fitness Holdings, LLC",Free,Health & Fitness,17,18192,"[-0.03261324 -0.03428319 -0.01457936 ...  0.02568784 -0.00502214
  0.00553377]","[-7.603583335876465, 2.7595889568328857]"
Hulu: Watch TV shows & movies,12+,"Hulu, LLC",Free,Entertainment,17,34293,"[-0.03976937 -0.02245424 -0.00809495 ...  0.00937133 -0.00049937
  0.00261574]","[-2.5645864009857178, 1.3572807312011719]"
Lyft,4+,"Lyft, Inc.",Free,Travel,24,29123,"[-0.01589082 -0.03496154  0.00294097 ...  0.00986986  0.00167901
  0.00880989]","[-5.615008354187012, 4.514569282531738]"
Impulse - Brain Training,4+,GMRD Apps Limited,Free,Health & Fitness,22,23573,"[-0.03409572 -0.06280956 -0.00701621 ...  0.0153779  -0.01763353
  0.01357339]","[-7.669515609741211, 5.052436351776123]"
Capital One Shopping: Save Now,4+,"Wikibuy, LLC",Free,Shopping,0,10921,"[-0.03181358 -0.0049469  -0.00687391 ... -0.01333744 -0.01553209
 -0.00782404]","[-5.234404563903809, -0.3566252291202545]"
Zelle,4+,"Early Warning Services, LLC",Free,Finance,20,23177,"[-0.0208044  -0.03356135 -0.00272242 ...  0.01567353 -0.00795657
 -0.00042731]","[0.35659506916999817, 4.653096675872803]"
Google Photos: Backup & Edit,4+,Google LLC,Free,Photo & Video,17,37781,"[-0.01831228 -0.0620431  -0.02573741 ...  0.02110619 -0.00282428
  0.01169951]","[-2.0919713973999023, -2.7693893909454346]"
Locket Widget,12+,"Locket Labs, Inc.",Free,Social Networking,20,20624,"[-0.02956322 -0.02984634 -0.00665694 ... -0.00455965 -0.01355974
  0.0137311 ]","[-1.0562775135040283, 5.885530471801758]"
"Canva: Design, Photo & Video",4+,Canva,Free,Photo & Video,36,64546,"[-0.01893621 -0.07376999 -0.01839472 ...  0.00081821 -0.01319483
  0.00969903]","[0.8137249946594238, -2.702150821685791]"
Rocket Money - Bills & Budgets,4+,Rocket Money,Free,Finance,17,31806,"[-0.03282214 -0.05334868 -0.01420938 ...  0.01113548 -0.01101693
 -0.01639413]","[0.7434175610542297, -0.6786028146743774]"
ADP Mobile Solutions,4+,"ADP, Inc",Free,Business,24,96165,"[-0.01310879 -0.03738883 -0.00948502 ...  0.00334205 -0.01304393
  0.00100272]","[8.503310203552246, 0.8865185976028442]"
"Google Docs: Sync, Edit, Share",4+,Google LLC,Free,Productivity,24,37781,"[-0.01838615 -0.06237019 -0.02581045 ...  0.02073945 -0.00291696
  0.01212332]","[-2.0350592136383057, -2.01132869720459]"
Lemon8 - Lifestyle Community,12+,Heliophilia Pte. Ltd.,Free,Lifestyle,14,38258,"[-0.02481797 -0.05694619 -0.0173388  ...  0.00525616  0.00998248
  0.01543445]","[5.514465808868408, 2.64431095123291]"
Capital One Mobile,4+,Capital One,Free,Finance,16,27317,"[-0.03871484 -0.01055382 -0.00412614 ...  0.00500125 -0.0132054
 -0.00826103]","[-4.488922595977783, -0.3480459451675415]"
Tubi: Movies & Live TV,12+,"Tubi, Inc",Free,Entertainment,14,57958,"[-0.04106585 -0.06825365 -0.02364352 ...  0.01385561 -0.00779144
 -0.00818775]","[2.4102818965911865, -0.8649591207504272]"
Google Translate,4+,Google LLC,Free,Reference,21,62741,"[-0.03545357 -0.05264961 -0.02623382 ...  0.02200305 -0.01500483
  0.02186657]","[-1.0524909496307373, -3.763113498687744]"
"Expedia: Hotels, Flights & Car",4+,"Expedia, Inc.",Free,Travel,21,44032,"[-0.03361753 -0.04122787 -0.01850694 ...  0.00734696  0.00383465
  0.00836507]","[7.661922931671143, 1.7311382293701172]"
Pocket FM: Audio Series,17+,Pocket FM Corp,Free,Entertainment,15,33198,"[-0.03835206 -0.02760744 -0.01405864 ... -0.00023929 -0.0139359
 -0.00114716]","[0.23400788009166718, 1.457839846611023]"
